iter	Passed	Remaining
373	23760	39771
374	23815	39692
375	23871	39616
376	23921	39531
377	23977	39454
378	24030	39374
379	24080	39288
380	24144	39227
381	24206	39160
382	24261	39085
383	24315	39006
384	24368	38926
385	24423	38850
386	24480	38776
387	24533	38697
388	24587	38619
389	24641	38542
390	24697	38468
391	24753	38393
392	24814	38326
393	24876	38261
394	24939	38197
395	24997	38128
396	25052	38051
397	25099	37964
398	25158	37894
399	25208	37812
400	25258	37729
401	25319	37664
402	25366	37577
403	25423	37505
404	25468	37416
405	25520	37338
406	25572	37258
407	25619	37173
408	25678	37104
409	25731	37028
410	25802	36977
411	25852	36896
412	25905	36820
413	25967	36756
414	26016	36674
415	26063	36588
416	26108	36502
417	26156	36418
418	26202	36333
419	26250	36250
420	26299	36170
421	26346	36085
422	26395	36005
423	26443	35923
424	26490	35839
425	26536	35755
426	26586	35677
427	26636	35597
428	26684	35516
429	26735	35440
430	26788	35365
431	26838	35287
432	26886	35207
433	26933	35124
434	26978	35041
435	27024	34957
436	27069	34874
437	27115	34791
438	27160	34708
439	27207	34627
440	27253	34546
441	27306	34472
442	27353	34392
443	27400	34312
444	27445	34230
445	27492	34149
446	27538	34068
447	27585	33989
448	27631	33909
449	27679	33831
450	27726	33751
451	27771	33669
452	27819	33592
453	27871	33519
454	27917	33439
455	27963	33359
456	28010	33281
457	28058	33204
458	28106	33127
459	28152	33048
460	28202	32974
461	28270	32920
462	28336	32864
463	28391	32797
464	28445	32727
465	28493	32651
466	28551	32586
467	28616	32529
468	28667	32457
469	28715	32380
470	28765	32308
471	28819	32238
472	28867	32162
473	28921	32094
474	28972	32022
475	29022	31948
476	29070	31873
477	29116	31796
478	29163	31720
479	29210	31644
480	29266	31579
481	29326	31516
482	29381	31449
483	29434	31380
484	29498	31323
485	29545	31247
486	29593	31173
487	29642	31100
488	29695	31031
489	29757	30972
490	29812	30904
491	29872	30843
492	29927	30776
493	29976	30705
494	30028	30635
495	30079	30564
496	30130	30494
497	30183	30425
498	30237	30358
499	30294	30294
500	30355	30234
501	30407	30164
502	30466	30102
503	30521	30037
504	30573	29968
505	30631	29904
506	30683	29836
507	30740	29772
508	30797	29708
509	30852	29642
510	30906	29576
511	30962	29511
512	31014	29442
513	31069	29376
514	31131	29318
515	31189	29255
516	31243	29189
517	31296	29121
518	31357	29061
519	31419	29002
520	31486	28948
521	31536	28878
522	31599	28819
523	31668	28767
524	31720	28699
525	31769	28629
526	31835	28573
527	31900	28517
528	31960	28455
529	32014	28390
530	32069	28324
531	32133	28268
532	32189	28203
533	32253	28146
534	32312	28084
535	32370	28022
536	32433	27963
537	32491	27901
538	32560	27848
539	32626	27793
540	32691	27736
541	32752	27676
542	32813	27616
543	32869	27552
544	32922	27485
545	32974	27418
546	33023	27348
547	33071	27277
548	33118	27206
549	33166	27136
550	33216	27067
551	33261	26995
552	33308	26923
553	33361	26857
554	33408	26787
555	33463	26722
556	33523	26661
557	33569	26591
558	33620	26523
559	33670	26455
560	33724	26390
561	33776	26324
562	33829	26258
563	33883	26193
564	33942	26132
565	34000	26071
566	34058	26009
567	34110	25943
568	34161	25876
569	34215	25811
570	34267	25745
571	34317	25677
572	34375	25616
573	34424	25548
574	34478	25484
575	34523	25413
576	34571	25344
577	34624	25279
578	34680	25216
579	34726	25147
580	34772	25076
581	34817	25006
582	34873	24944
583	34919	24874
584	34965	24804
585	35012	24735
586	35057	24665
587	35104	24596
588	35157	24532
589	35202	24463
590	35249	24394
591	35296	24325
592	35344	24258
593	35390	24189
594	35440	24123
595	35486	24054
596	35531	23985
597	35581	23919
598	35638	23858
599	35698	23798
600	35751	23735
601	35800	23668
602	35856	23607
603	35904	23540
604	35949	23471
605	35994	23402
606	36040	23334
607	36085	23265
608	36130	23197
609	36177	23130
610	36229	23066
611	36276	22998
612	36323	22931
613	36370	22864
614	36428	22804
615	36477	22738
616	36523	22671
617	36571	22605
618	36619	22539
619	36665	22472
620	36713	22406
621	36769	22345
622	36815	22278
623	36871	22217
624	36916	22150
625	36972	22089
626	37018	22021
627	37061	21953
628	37113	21890
629	37168	21829
630	37222	21767
631	37269	21701
632	37313	21633
633	37361	21568
634	37409	21503
635	37457	21438
636	37503	21371
637	37551	21306
638	37596	21240
639	37642	21173
640	37690	21109
641	37734	21042
642	37779	20975
643	37828	20911
644	37874	20845
645	37919	20779
646	37969	20715
647	38015	20650
648	38063	20585
649	38111	20521
650	38157	20456
651	38206	20392
652	38255	20328
653	38302	20263
654	38349	20199
655	38402	20137
656	38450	20073
657	38497	20009
658	38545	19945
659	38591	19880
660	38636	19815
661	38684	19751
662	38730	19686
663	38778	19622
664	38825	19558
665	38871	19494
666	38923	19432
667	38972	19369
668	39017	19304
669	39065	19241
670	39124	19183
671	39169	19118
672	39216	19054
673	39263	18990
674	39309	18926
675	39353	18861
676	39408	18801
677	39458	18740
678	39505	18676
679	39551	18612
680	39595	18547
681	39641	18483
682	39688	18420
683	39736	18358
684	39789	18297
685	39838	18234
686	39886	18172
687	39934	18109
688	39980	18046
689	40033	17986
690	40087	17926
691	40134	17863
692	40184	17802
693	40240	17742
694	40298	17684
695	40354	17626
696	40412	17568
697	40472	17510
698	40524	17450
699	40573	17388
700	40621	17326
701	40665	17262
702	40710	17199
703	40757	17136
704	40819	17080
705	40868	17018
706	40915	16956
707	40961	16893
708	41008	16831
709	41069	16774
710	41125	16716
711	41184	16659
712	41247	16603
713	41295	16541
714	41341	16478
715	41387	16416
716	41474	16369
717	41533	16312
718	41591	16254
719	41647	16196
720	41695	16134
721	41742	16072
722	41789	16010
723	41837	15949
724	41884	15887
725	41935	15826
726	41983	15765
727	42031	15704
728	42080	15643
729	42129	15582
730	42178	15521
731	42228	15460
732	42277	15399
733	42326	15339
734	42379	15279
735	42430	15219
736	42482	15159
737	42531	15099
738	42577	15037
739	42623	14975
740	42680	14918
741	42734	14859
742	42795	14802
743	42850	14744
744	42903	14685
745	42952	14624
746	42998	14563
747	43046	14502
748	43093	14441
749	43141	14380
750	43192	14320
751	43253	14264
752	43310	14206
753	43365	14148
754	43434	14094
755	43485	14035
756	43535	13975
757	43581	13913
758	43627	13852
759	43681	13794
760	43727	13733
761	43774	13672
762	43827	13613
763	43875	13553
764	43924	13493
765	43983	13436
766	44049	13381
767	44101	13322
768	44158	13264
769	44224	13210
770	44282	13152
771	44343	13096
772	44401	13038
773	44477	12986
774	44530	12928
775	44580	12868
776	44639	12811
777	44690	12752
778	44741	12693
779	44804	12637
780	44866	12580
781	44950	12530
782	45034	12480
783	45086	12421
784	45145	12364
785	45202	12307
786	45256	12248
787	45314	12191
788	45373	12134
789	45432	12076
790	45483	12017
791	45537	11959
792	45590	11900
793	45645	11842
794	45706	11785
795	45760	11727
796	45816	11669
797	45873	11612
798	45927	11553
799	45977	11494
800	46029	11435
801	46105	11382
802	46174	11327
803	46236	11271
804	46313	11218
805	46392	11166
806	46466	11112
807	46540	11059
808	46606	11003
809	46668	10946
810	46726	10889
811	46785	10832
812	46847	10775
813	46904	10717
814	46958	10659
815	47022	10603
816	47085	10546
817	47146	10489
818	47203	10431
819	47255	10373
820	47331	10319
821	47405	10265
822	47465	10208
823	47527	10151
824	47598	10096
825	47680	10044
826	47754	9989
827	47827	9935
828	47892	9879
829	47959	9822
830	48024	9766
831	48082	9708
832	48131	9649
833	48183	9590
834	48238	9532
835	48294	9474
836	48350	9415
837	48409	9358
838	48494	9305
839	48547	9247
840	48611	9190
841	48662	9131
842	48717	9073
843	48786	9017
844	48856	8961
845	48909	8903
846	48964	8844
847	49017	8786
848	49070	8727
849	49126	8669
850	49180	8610
851	49232	8552
852	49283	8493
853	49335	8434
854	49392	8376
855	49445	8317
856	49504	8260
857	49558	8201
858	49612	8143
859	49669	8085
860	49743	8030
861	49796	7971
862	49846	7913
863	49901	7854
864	49962	7797
865	50023	7740
866	50090	7684
867	50157	7627
868	50220	7570
869	50284	7513
870	50353	7457
871	50411	7399
872	50466	7341
873	50521	7283
874	50576	7225
875	50626	7166
876	50680	7108
877	50730	7049
878	50784	6990
879	50841	6932
880	50901	6875
881	50955	6817
882	51009	6758
883	51064	6700
884	51119	6642
885	51174	6584
886	51228	6526
887	51281	6467
888	51340	6410
889	51397	6352
890	51448	6293
891	51503	6235
892	51558	6177
893	51610	6119
894	51663	6061
895	51737	6005
896	51797	5947
897	51850	5889
898	51902	5831
899	51955	5772
900	52002	5713
901	52061	5656
902	52111	5597
903	52163	5539
904	52215	5481
905	52265	5422
906	52315	5364
907	52366	5305
908	52424	5248
909	52484	5190
910	52548	5133
911	52618	5077
912	52678	5019
913	52736	4962
914	52799	4904
915	52858	4847
916	52924	4790
917	52981	4732
918	53057	4676
919	53128	4619
920	53201	4563
921	53270	4506
922	53343	4450
923	53415	4393
924	53484	4336
925	53557	4279
926	53629	4223
927	53699	4166
928	53762	4108
929	53816	4050
930	53869	3992
931	53919	3934
932	53969	3875
933	54020	3817
934	54072	3759
935	54122	3700
936	54175	3642
937	54224	3584
938	54274	3525
939	54327	3467
940	54381	3409
941	54434	3351
942	54490	3293
943	54553	3236
944	54607	3178
945	54659	3120
946	54707	3061
947	54755	3003
948	54804	2945
949	54852	2886
950	54900	2828
951	54950	2770
952	55004	2712
953	55055	2654
954	55119	2597
955	55170	2539
956	55223	2481
957	55272	2423
958	55322	2365
959	55375	2307
960	55423	2249
961	55478	2191
962	55533	2133
963	55580	2075
964	55629	2017
965	55677	1959
966	55726	1901
967	55774	1843
968	55821	1785
969	55869	1727
970	55917	1670
971	55964	1612
972	56013	1554
973	56063	1496
974	56111	1438
975	56159	1380
976	56209	1323
977	56260	1265
978	56310	1207
979	56360	1150
980	56408	1092
981	56457	1034
982	56524	977
983	56572	919
984	56622	862
985	56672	804
986	56719	747
987	56770	689
988	56819	631
989	56867	574
990	56917	516
991	56965	459
992	57013	401
993	57066	344
994	57116	287
995	57173	229
996	57225	172
997	57276	114
998	57326	57
999	57376	0
